event_id,time,latitude,longitude,depth_km,magnitude,mag_type,place,status,tsunami,sig,felt,cdi,mmi,alert,type,year,state
syn_2018_0,2018-05-18,39.9816,-100.7116,14.9,3.34,ml,Unknown,reviewed,0,333,,,,,earthquake,2018,Other
syn_2018_1,2018-01-25,63.0286,-87.9418,38.23,2.65,ml,Unknown,reviewed,0,265,,,,,earthquake,2018,Alaska
syn_2018_2,2018-06-17,54.2798,-144.2018,15.19,4.15,ml,Unknown,reviewed,0,414,,,,,earthquake,2018,Alaska
syn_2018_3,2018-09-20,48.9463,-105.638,3.53,3.26,ml,Unknown,reviewed,0,325,,,,,earthquake,2018,Montana
syn_2018_4,2018-05-23,31.2407,-111.1102,28.6,2.64,ml,Unknown,reviewed,0,263,,,,,earthquake,2018,Other
syn_2018_5,2018-08-14,31.2398,-84.2185,12.26,5.12,ml,Unknown,reviewed,0,512,,,,,earthquake,2018,Other
syn_2018_6,2018-03-01,27.3233,-76.673,49.17,3.08,ml,Unknown,reviewed,0,308,,,,,earthquake,2018,Other
syn_2018_7,2018-11-06,59.647,-168.7479,2.19,2.56,ml,Unknown,reviewed,0,256,,,,,earthquake,2018,Alaska
syn_2018_8,2018-01-14,49.0446,-100.5759,6.92,3.29,ml,Unknown,reviewed,0,328,,,,,earthquake,2018,Other
syn_2018_9,2018-10-19,53.3229,-164.6609,31.68,2.73,ml,Unknown,reviewed,0,273,,,,,earthquake,2018,Alaska
syn_2018_10,2018-12-23,25.8234,-113.4676,15.25,3.8,ml,Unknown,reviewed,0,380,,,,,earthquake,2018,Other
syn_2018_11,2018-03-10,63.7964,-140.3738,41.2,3.86,ml,Unknown,reviewed,0,386,,,,,earthquake,2018,Alaska
syn_2018_12,2018-02-04,58.2977,-138.402,33.0,5.59,ml,Unknown,reviewed,0,558,,,,,earthquake,2018,Alaska
syn_2018_13,2018-07-16,33.4936,-133.6453,11.09,3.06,ml,Unknown,reviewed,0,305,,,,,earthquake,2018,Other
syn_2018_14,2018-02-20,32.273,-106.0069,24.77,2.99,ml,Unknown,reviewed,0,298,,,,,earthquake,2018,New Mexico
syn_2018_15,2018-06-19,32.3362,-135.5929,35.83,3.62,ml,Unknown,reviewed,0,362,,,,,earthquake,2018,Other
syn_2018_16,2018-04-10,37.1697,-94.532,25.43,2.61,ml,Unknown,reviewed,0,261,,,,,earthquake,2018,Missouri
syn_2018_17,2018-06-17,45.9903,-128.3337,24.24,3.13,ml,Unknown,reviewed,0,313,,,,,earthquake,2018,Other
syn_2018_18,2018-12-10,42.2778,-162.9596,83.53,3.13,ml,Unknown,reviewed,0,313,,,,,earthquake,2018,Other
syn_2018_19,2018-08-21,36.6492,-89.2727,74.65,2.57,ml,Unknown,reviewed,0,257,,,,,earthquake,2018,Missouri
syn_2018_20,2018-02-16,49.4741,-140.5669,12.18,2.93,ml,Unknown,reviewed,0,293,,,,,earthquake,2018,Other
syn_2018_21,2018-03-22,30.5798,-125.425,10.12,4.04,ml,Unknown,reviewed,0,403,,,,,earthquake,2018,Other
syn_2018_22,2018-12-04,36.6858,-99.3993,95.83,4.05,ml,Unknown,reviewed,0,405,,,,,earthquake,2018,Oklahoma
syn_2018_23,2018-08-10,39.6545,-135.757,7.36,2.58,ml,Unknown,reviewed,0,258,,,,,earthquake,2018,Other
syn_2018_24,2018-11-18,43.2428,-164.1717,36.62,2.58,ml,Unknown,reviewed,0,257,,,,,earthquake,2018,Other
syn_2018_25,2018-08-23,56.407,-131.4861,6.92,2.74,ml,Unknown,reviewed,0,274,,,,,earthquake,2018,Alaska
syn_2018_26,2018-05-18,32.987,-72.7218,56.82,4.16,ml,Unknown,reviewed,0,416,,,,,earthquake,2018,Other
syn_2018_27,2018-07-14,45.5694,-103.9014,4.49,2.61,ml,Unknown,reviewed,0,261,,,,,earthquake,2018,Other
syn_2018_28,2018-07-15,48.6966,-100.8376,38.3,3.52,ml,Unknown,reviewed,0,351,,,,,earthquake,2018,Other
syn_2018_29,2018-12-16,26.858,-104.8749,14.04,2.59,ml,Unknown,reviewed,0,258,,,,,earthquake,2018,Texas
syn_2018_30,2018-07-06,49.3018,-149.5038,5.84,3.28,ml,Unknown,reviewed,0,328,,,,,earthquake,2018,Other
syn_2018_31,2018-12-15,31.821,-126.9116,9.07,2.85,ml,Unknown,reviewed,0,285,,,,,earthquake,2018,Other
syn_2018_32,2018-02-17,27.6021,-92.6532,27.86,3.74,ml,Unknown,reviewed,0,374,,,,,earthquake,2018,Other
syn_2018_33,2018-05-11,62.9554,-159.5586,14.56,2.71,ml,Unknown,reviewed,0,271,,,,,earthquake,2018,Alaska
syn_2018_34,2018-08-07,63.6253,-141.3812,25.35,3.32,ml,Unknown,reviewed,0,331,,,,,earthquake,2018,Alaska
syn_2018_35,2018-12-23,57.3359,-141.5391,0.92,2.72,ml,Unknown,reviewed,0,271,,,,,earthquake,2018,Alaska
syn_2018_36,2018-01-25,37.1846,-125.5021,24.45,3.5,ml,Unknown,reviewed,0,350,,,,,earthquake,2018,Other
syn_2018_37,2018-06-13,28.9069,-69.022,8.03,4.16,ml,Unknown,reviewed,0,415,,,,,earthquake,2018,Other
syn_2018_38,2018-01-15,52.3693,-163.0472,7.99,2.61,ml,Unknown,reviewed,0,260,,,,,earthquake,2018,Alaska
syn_2018_39,2018-05-25,42.6061,-116.5738,10.18,4.11,ml,Unknown,reviewed,0,411,,,,,earthquake,2018,Oregon
syn_2018_40,2018-05-19,29.8815,-151.5254,18.94,3.22,ml,Unknown,reviewed,0,322,,,,,earthquake,2018,Other
syn_2018_41,2018-12-18,44.8071,-70.0203,2.15,2.61,ml,Unknown,reviewed,0,260,,,,,earthquake,2018,Other
syn_2018_42,2018-10-24,26.3755,-158.3297,41.4,2.95,ml,Unknown,reviewed,0,294,,,,,earthquake,2018,Other
syn_2018_43,2018-05-25,61.3728,-128.4291,12.0,2.64,ml,Unknown,reviewed,0,264,,,,,earthquake,2018,Alaska
syn_2018_44,2018-09-27,35.3512,-93.9978,33.67,3.46,ml,Unknown,reviewed,0,346,,,,,earthquake,2018,Texas
syn_2018_45,2018-06-04,51.5009,-97.4309,29.53,3.64,ml,Unknown,reviewed,0,363,,,,,earthquake,2018,Alaska
syn_2018_46,2018-06-03,37.4684,-126.459,2.66,2.59,ml,Unknown,reviewed,0,258,,,,,earthquake,2018,Other
syn_2018_47,2018-07-06,45.8027,-134.308,8.64,3.06,ml,Unknown,reviewed,0,306,,,,,earthquake,2018,Other
syn_2018_48,2018-08-17,46.8684,-129.0459,32.16,3.85,ml,Unknown,reviewed,0,384,,,,,earthquake,2018,Other
syn_2018_49,2018-06-05,32.3942,-142.7795,13.59,4.7,ml,Unknown,reviewed,0,470,,,,,earthquake,2018,Other
syn_2018_50,2018-12-23,63.7834,-148.8507,24.37,3.08,ml,Unknown,reviewed,0,307,,,,,earthquake,2018,Alaska
syn_2018_51,2018-12-07,56.0053,-120.2469,5.46,4.9,ml,Unknown,reviewed,0,490,,,,,earthquake,2018,Alaska
syn_2018_52,2018-01-27,62.58,-142.341,12.91,3.11,ml,Unknown,reviewed,0,311,,,,,earthquake,2018,Alaska
syn_2018_53,2018-12-19,60.7931,-140.3914,20.65,2.9,ml,Unknown,reviewed,0,290,,,,,earthquake,2018,Alaska
syn_2018_54,2018-07-12,48.916,-102.3541,5.77,4.01,ml,Unknown,reviewed,0,400,,,,,earthquake,2018,Other
syn_2018_55,2018-01-07,61.875,-70.2407,45.09,3.04,ml,Unknown,reviewed,0,304,,,,,earthquake,2018,Alaska
syn_2018_56,2018-01-06,28.5397,-107.8254,65.28,3.01,ml,Unknown,reviewed,0,301,,,,,earthquake,2018,Other
syn_2018_57,2018-10-16,32.8393,-162.0711,18.38,3.04,ml,Unknown,reviewed,0,303,,,,,earthquake,2018,Other
syn_2018_58,2018-08-23,26.8091,-162.2149,60.15,4.0,ml,Unknown,reviewed,0,400,,,,,earthquake,2018,Other
syn_2018_59,2018-01-04,38.0132,-72.0034,27.42,3.93,ml,Unknown,reviewed,0,392,,,,,earthquake,2018,Other
syn_2018_60,2018-07-14,40.5471,-139.379,6.25,2.91,ml,Unknown,reviewed,0,291,,,,,earthquake,2018,Other
syn_2018_61,2018-12-01,35.854,-160.5171,31.78,2.82,ml,Unknown,reviewed,0,282,,,,,earthquake,2018,Other
syn_2018_62,2018-07-18,58.1495,-108.2984,31.53,3.04,ml,Unknown,reviewed,0,304,,,,,earthquake,2018,Alaska
