state,incidentType,declarations,county_rows,ia_activations,pa_activations,ia_rate,pa_rate,state_total,disaster_share_pct
AK,Biological,2,121,0,121,0.0,1.0,93,2.15
AK,Coastal Storm,2,2,0,2,0.0,1.0,93,2.15
AK,Earthquake,4,13,3,13,0.23076923076923078,1.0,93,4.3
AK,Fire,29,35,2,35,0.05714285714285714,1.0,93,31.18
AK,Flood,18,71,17,68,0.23943661971830985,0.9577464788732394,93,19.35
AK,Freezing,2,14,2,12,0.14285714285714285,0.8571428571428571,93,2.15
AK,Mud/Landslide,5,12,0,12,0.0,1.0,93,5.38
AK,Other,4,4,3,4,0.75,1.0,93,4.3
AK,Severe Storm,25,78,10,78,0.1282051282051282,1.0,93,26.88
AK,Snowstorm,1,4,0,4,0.0,1.0,93,1.08
AK,Winter Storm,1,1,0,1,0.0,1.0,93,1.08
AS,Biological,2,10,0,10,0.0,1.0,17,11.76
AS,Drought,1,5,5,0,1.0,0.0,17,5.88
AS,Earthquake,1,5,0,5,0.0,1.0,17,5.88
AS,Flood,1,5,0,5,0.0,1.0,17,5.88
AS,Hurricane,5,25,15,25,0.6,1.0,17,29.41
AS,Severe Storm,3,8,2,8,0.25,1.0,17,17.65
AS,Typhoon,4,18,18,18,1.0,1.0,17,23.53
CA,Biological,2,116,0,116,0.0,1.0,392,0.51
CA,Coastal Storm,2,43,40,39,0.9302325581395349,0.9069767441860465,392,0.51
CA,Dam/Levee Break,3,5,1,5,0.2,1.0,392,0.77
CA,Drought,1,47,0,47,0.0,1.0,392,0.26
CA,Earthquake,14,32,25,29,0.78125,0.90625,392,3.57
CA,Fire,295,479,58,469,0.12108559498956159,0.9791231732776617,392,75.26
CA,Fishing Losses,1,4,4,0,1.0,0.0,392,0.26
CA,Flood,41,449,228,444,0.5077951002227171,0.9888641425389755,392,10.46
CA,Freezing,3,57,57,0,1.0,0.0,392,0.77
CA,Hurricane,3,64,0,64,0.0,1.0,392,0.77
CA,Other,1,1,1,1,1.0,1.0,392,0.26
CA,Severe Storm,23,384,209,381,0.5442708333333334,0.9921875,392,5.87
CA,Tropical Storm,1,1,0,1,0.0,1.0,392,0.26
CA,Tsunami,1,3,0,3,0.0,1.0,392,0.26
CA,Winter Storm,1,1,0,1,0.0,1.0,392,0.26
GU,Biological,2,2,0,2,0.0,1.0,23,8.7
GU,Earthquake,1,1,0,1,0.0,1.0,23,4.35
GU,Fire,1,1,0,1,0.0,1.0,23,4.35
GU,Hurricane,1,1,0,1,0.0,1.0,23,4.35
GU,Severe Storm,2,2,0,2,0.0,1.0,23,8.7
GU,Tropical Storm,3,3,0,3,0.0,1.0,23,13.04
GU,Typhoon,13,13,10,13,0.7692307692307693,1.0,23,56.52
HI,Biological,2,9,0,9,0.0,1.0,71,2.82
HI,Earthquake,4,7,4,7,0.5714285714285714,1.0,71,5.63
HI,Fire,28,29,0,29,0.0,1.0,71,39.44
