year,total_county_rows,total_ia,total_pa,unique_disasters,usgs_events,avg_mag,m5plus,prev_usgs,yoy_usgs_growth,prev_ia,yoy_ia_growth_national
2000,1.0,1.0,0.0,1.0,,,,,,,
2001,25.0,22.0,16.0,2.0,,,,,,1.0,2100.0
2002,12.0,8.0,6.0,2.0,4000.0,3.2887775,147.0,,,22.0,-63.64
2004,2.0,1.0,2.0,1.0,,,,4000.0,,8.0,-87.5
2006,4.0,2.0,4.0,1.0,,,,,,1.0,100.0
2007,,,,,4000.0,3.2889475,159.0,,,2.0,
2009,5.0,0.0,5.0,1.0,,,,4000.0,,,
2010,1.0,0.0,1.0,1.0,,,,,,0.0,0.0
2011,11.0,0.0,6.0,2.0,,,,,,0.0,0.0
2012,,,,,4000.0,3.3077575,174.0,,,0.0,
2014,2.0,0.0,2.0,1.0,,,,4000.0,,,
2017,,,,,4000.0,3.293625,151.0,,,0.0,
2018,3.0,0.0,3.0,1.0,,,,4000.0,,,
2019,5.0,0.0,5.0,2.0,,,,,,0.0,0.0
2020,114.0,0.0,93.0,3.0,,,,,,0.0,0.0
2022,,,,,4000.0,3.2696375,148.0,,,0.0,
2023,1.0,0.0,1.0,1.0,,,,4000.0,,,
